"LocalityString"	"Drainage"	"Country"	"State"	"County"	"Continent"
Wilson Slough at jct. with West Pearl River - Fish Stat. #13.	Pearl River	United States of America	Louisiana	St. Tammany	North America
W. Pearl River 1 mi. below jct. Wilson Slough & W. Pearl River	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 2 mi. below jct. of Wilson Slough and West Pearl River; Fish Stat. #15.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River at Bear Island; 4 mi. below jct. of West Pearl River and Wilson Slough; Fish Stat. #16.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 5.5 mi. below jct. of West Pearl and Wilson Slough; Fish Stat. #17.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Holmes Bayou about 0.25 mi. up from its mouth - Fish Stat. #25.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 0.5 mi. below mouth of Holmes Bayou; Fish Stat. #18.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 1 mi. above old US Hwy. 11 bridge - Fish Stat. #19.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Thompson Creek under Hwy. 10 bridge, 0.6 mi. NW of Jackson.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Big Bayou Sara at Hwy. 66 bridge, 1.5 mi. W of Bains.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Buffalo River at dirt road 4.1 mi. NW of Centreville.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Bayou Pierre, 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Homochitto River 5 mi. E of Union Church, Hwy. 553.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Choccolocco Creek at Martha H. Williams bridge, Hwy. 95.	Alabama River	United States of America	Alabama	Talladega	North America
Choccolocco Creek 3 mi. S of I-20, Hwy. 93; Fish Station #8.	Alabama River	United States of America	Alabama	Talladega	North America
Cheaha Creek 3.6 mi. S of I-20 at Estaboga Exit, Hwy. 93.	Alabama River	United States of America	Alabama	Talladega	North America
Acker Creek trib. To Coosa River 5.6 mi. N of Lincoln, Hwy. 73.	Coosa River	USA	Alabama	Calhoun	North America
Cane Creek trib. to Coosa River 8.4 mi. N of Lincoln, Hwy. 73.	Alabama River	United States of America	Alabama	Calhoun	North America
Alabama River at Clifton Ferry Landing; River Mile 137.5.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Upper Bar; River Mile 135.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Lower Bar; River Mile 133.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Yellow Bar, River Mile 129.8.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Wilcox Bar, River Mile 120.5.	Alabama River	United States of America	Alabama	Wilcox	North America
Pearl River just below sill at Pools Bluff, 4 mi. S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just below sill at Pools Bluff, 4 mi. S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Homochitto River 5 mi. E of Union Church.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Pearl River just below Coburn Creek, 1.5 mi. E of Bogalusa - Fish Stat. #1.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River between Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mi. below Richardson Landing 1.5 mi. SW of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 54, 2.3 mi. SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above sill at Pools Bluff, 4 mi. S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just below sill at Pools Bluff, 4 mi. S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Bayou Sara, 9 mi. SW of Woodville.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Jackson Creek, trib. to Buffalo Bayou 7.1 mi. WNW of Centreville; 1.5 mi. N of Hwy. 24.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Brown Creek trib. To Buffalo River, 8.4 mi. WNW of Centreville, 4.5 mi. N of Hwy. 24.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Thompson Creek 0.6 mi. W of Jackson, Hwy. 10.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Cox Creek 3.2 mi. NE of Florence on Mars Hill Road.	Tennessee River	United States of America	Alabama	Lauderdale	North America
North Fork Coles Creek at MS Hwy. 553 bridge, 2.2 mi. NE of Harrison.	Mississippi River	United States of America	Mississippi	Jefferson	North America
Bayou Pierre, at MS Hwy. 18 bridge, 5.8 mi. E of Carlisle.	Mississippi River	United States of America	Mississippi	Copiah	North America
Homochitto River at MS Hwy. 550 bridge 5.0 mi. E of Union Church.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Sabine River at Hwy. 190 bridge, 1.2 mi. E of Bon Wier; Fish Station #9.	Sabine River	United States of America	Texas	Newton	North America
Sabine River 0.75 mi. below US Hwy. 190 bridge; Fish Station #10.	Sabine River	United States of America	Louisiana	Beauregard	North America
Sabine River along sandbar and in small tributary opposite Moon Lake; Station #7.	Sabine River	United States of America	Texas	Newton	North America
Sabine River 0.5 mi. below mouth of Anacoco Bayou; Fish Station #4.	Sabine River	United States of America	Louisiana	Beauregard	North America
Anacoco Bayou 0.5 mi. above its mouth into Sabine River; Station #5.	Sabine River	United States of America	Louisiana	Beauregard	North America
Sabine River at TX Hwy. 63 bridge, 19.0 mi. SW of Leesville, LA; Fish Station #1.	Sabine River	United States of America	Texas	Newton	North America
Anacoco Bayou at Hwy. 111 bridge 8.6 mi. S of Evans; Trib. Station #4.	Sabine River	United States of America	Louisiana	Beauregard	North America
Anacoco Bayou 0.5 mi. above Hwy. 111 bridge; Trib. Station #3.	Sabine River	United States of America	Louisiana	Beauregard	North America
Anacoco Bayou at Clarks Property, 10.0 mi. W of De Ridder.	Sabine River	United States of America	Louisiana	Beauregard	North America
North Fork Coles Creek at dirt road 4.0 mi. due E of Fayette.	Mississippi River	United States of America	Mississippi	Jefferson	North America
Homochitto River at Hwy. 550 bridge 5.0 mi. E of Union Church.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Bayou Pierre at MS Hwy. 18 bridge, 5.8 mi. E of Carlisle.	Mississippi River	United States of America	Mississippi	Copiah	North America
Alabama River at Clifton Ferry Landing; River Mile 137.3.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Yellow Jacket Bar; River Mile 129.8; Fish Station #2.	Alabama River	United States of America	Alabama	Wilcox	North America
Choccolocco Creek at Marth H. Willliams bridge.	Alabama River	United States of America	Alabama	Talladega	North America
Cheaha Creek trib. to Choccolocco Creek 3.2 mi. S of Estaboga; I-20.	Alabama River	United States of America	Alabama	Talladega	North America
Aker Creek, trib. to Coosa River 6.5 mi. N of Lincoln, Hwy. 73.	Alabama River	United States of America	Alabama	Calhoun	North America
Cane Creek 8.8 mi. N of Lincoln, Hwy. 73.	Alabama River	United States of America	Alabama	Calhoun	North America
Cahaba River 8.4 mi. NNE of Centreville, Hwy. 27.	Alabama River	United States of America	Alabama	Bibb	North America
Chattooga River at Hwy. 28 bridge, 6.0 mi. NW of Mountain Rest.	Savannah River	United States of America	Georgia-S. Carolina	Roban-Pickens	North America
Bear Creek (trib. to Rocky River) at Hwy. 24 bridge, 3.3 mi. E of Red Cross.	Pee Dee River	United States of America	North Carolina	Stanly	North America
Rocky River (trib. to Deep River) at Hwy. 64 bridge 4 mi. E of Siler City.	Cape Fear River	United States of America	North Carolina	Chatham	North America
Little River trib. to Neuse River 2.4 mi. SW of Zebulon Hwy. 64.	Neuse River	United States of America	North Carolina	Wake	North America
Swift Creek trib. to Tar River 6.2 mi. NW of Red Oak, Hwy. 43.	Tar River	United States of America	North Carolina	Nash	North America
Fishing Creek at County Road #1506 bridge, 1.8 mi. NE Aventon.	Tar River	United States of America	North Carolina	Halifax	North America
Roanoke River 0.5 mi. upstream of Wabun.	Roanoke River	United States of America	Virginia	Roanoke	North America
Pigg River trib. to Blackwater River on Business Route 220 at S edge of Rocky Mount.	Roanoke River	United States of America	Virginia	Franklin	North America
South Fork Holston River, 2 mi. NW of Damascus, Hwy. 91.	Tennessee River	United States of America	Virginia	Washington	North America
Copper Creek 1.5 mi. NE of Speers Ferry.	Tennessee River	United States of America	Virginia	Scott	North America
Copper Creek at Ford 2.5 mi. NE of Speers ferry, trib. to Clinch River.	Tennessee River	United States of America	Virginia	Scott	North America
Copper Creek trib. to Clinch River, 0.9 mi. NE of Speers Ferry.	Tennessee River	United States of America	Virginia	Scott	North America
Conasauga River 12.6 mi. SE of Cleveland, Hwy. 74.	Alabama River	United States of America	Tennessee	Bradley	North America
Cartecay River 2 mi. E of East Ellijay Post Office along Hwy. 52.	Alabama River	United States of America	Georgia	Gilmer	North America
Pearl River just above Coburn Creek, 1.5 mi. E of Bogalusa; Fish Stat. #1.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River between mouth of Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa - Fish Stat. #2.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mi. below Richardson Landing , 1.5 mi. SE of Bogalusa - Fish Stat. #3.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 54; 2.3 mi. SE of Bogalusa; Fish Stat. #4.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above sill at Pools Bluff, 4 mi. S of Bogalusa; Fish Stat. #5.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just below sill at Pools Bluff, 4 mi. S of Bogalusa; Fish Stat. #6.	Pearl River	United States of America	Louisiana	Washington	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Turkey Creek trib. to Bayou Pierre 10.8 mi. NW of Hazelhurst.	Mississippi River	United States of America	Mississippi	Copiah	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Piney Creek at Hwy. 563 bridge, 4.2 mi. E of Wilkinson.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Buffalo Bayou 0.3 mi. S of Wilkinson, Hwy. 563.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Thompson Creek 0.6 mi. W of Jackson, Hwy. 10.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Bayou Pierre 6.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Bayou Sara 2.6 mi. W of Woodville on gravel road.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Cheaha Creek trib. to Choccolocco Creek, 3.6 mi. S of I-20 on Hwy. 93.	Alabama River	United States of America	Alabama	Talladega	North America
Choccolocco Creek 3.0 mi. S of I-20, Hwy. 93.	Alabama River	United States of America	Alabama	Talladgea	North America
Shoal Creek 2.3 mi. E of White Plains.	Alabama River	United States of America	Alabama	Calhoun	North America
Choccolocco Creek 1 mi. S of White Plains, Hwy. 9.	Alabama River	United States of America	Alabama	Calhoun	North America
Aker Creek 6.6 mi. N of Lincoln, Hwy. 73.	Alabama River	United States of America	Alabama	Calhoun	North America
Cane Creek 8.6 mi. N of Lincoln, Hwy. 73.	Alabama River	United States of America	Alabama	Calhoun	North America
Alabama River at Yellow Jacket Bar; River Mile 129.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Tait Bar; River Mile 122.5.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Wilcox Bar; River Mile 120.5.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Upper Bar; River Mile 135.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Lower Bar; River Mile 133.2.	Alabama River	United States of America	Alabama	Wilcox	North America
Aravaipa Creek 22 mi. NE of Mammoth.	Colorado River	United States of America	Arizona	Pinal	North America
American River in Sacramento at Walt Avenue bridge.	Sacramento River	United States of America	California	Sacramento	North America
American River in Fair Oaks at Sunrise Boulevard.	Sacramento River	United States of America	California	Sacramento	North America
Lake Tahoe at Tahoe City; Tahoe Boat Company Dock - North shore.	Lake Tahoe	United States of America	California	Placer	North America
Nutrioso Creek trib. to Little Colorado 6.2 mi. N Nutrioso, Hwy. 180.	Colorado River	United States of America	Arizona	Apache	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Pearl River just above mouth of Coburn Creek - Fish Stat. #1.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at sandbar below mouth of Coburn Creek - Fish Stat. #2.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River sandbar 0.5 mi. below Richardson Landing - Fish Stat. #3.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at sandbar, River Mile 54 - Fish Stat. #4.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above Pools Bluff Sill.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just below Pools Bluff Sill, 4 mi. S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Williams Creek trib. to Bayou Sara, 2.5 mi. WNW of Wakefield.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Alabama River at Yellow Jacket Bar; River Mile 129.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Tait Bar; River Mile 122.4.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Wilcox Bar; River Mile 120.4.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Clifton Ferry Landing; River Mile 137.3.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Upper Bar; River Mile 135.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Lower Bar; River Mile 133.2.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at E side of Holly Ferry Landing just above AL Hwy. 18 bridge.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Stein Island, River Mile ___ ?	Alabama River	United States of America	Alabama	Monroe	North America
Alabama River at mouth of trib. between Belle Landing and Morrisette Landing.	Alabama River	United States of America	Alabama	Monroe	North America
Alabama River at Bates Bar, River Mile ___ ?	Alabama River	United States of America	Alabama	Monroe	North America
Alabama River at Haines island, River Mile ___ ?	Alabama River	United States of America	Alabama	Monroe	North America
Alabama River at Williamson Woodyard Landing, River Mile 92.	Alabama River	United States of America	Alabama	Monroe	North America
Alabama River at Davis Landing, River Mile 96.8.	Alabama River	United States of America	Alabama	Monroe	North America
Colorado River at Buck Farm Canyon, River Mile 41.	Colorado River	United States of America	Arizona	Coconino	North America
Colorado River at Lava Canyon Rapids; River Mile 65.8.	Colorado River	United States of America	Arizona	Coconino	North America
Royal Arch Creek, River Mile 116.5.	Colorado River	United States of America	Arizona	Coconino	North America
Deer Creek at River Mile 136 along right bank at lower end creek below falls.	Colorado River	United States of America	Arizona	Coconino	North America
Colorado River at River Mile 194.5 along left bank.	Colorado River	United States of America	Arizona	Coconino	North America
Colorado River at River Mile 212.5 along left bank.	Colorado River	United States of America	Arizona	Coconino	North America
Trib. to Middle Fork Thompson Creek 10.2 mi. SE of Woodville.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Middle Fork Thompson Creek 11.3 mi. SE of Woodville.	Mississippi River	United States of America	Louisiana	West Feliciana	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Middle Fork Thompson Creek, 9 mi. SSE of Woodville.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Bayou Pierre 5.8 mi.E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Cheaha Creek Hwy. 93, 3.6 mi. S of I-20.	Alabama River	United States of America	Alabama	Talladega	North America
Choccolocco Creek at Hwy. 93, 3 mi. S of I-20.	Alabama River	United States of America	Alabama	Talladega	North America
Cheaha Creek at McElderry, Talladega County Hwy. 105.	Alabama River	United States of America	Alabama	Talladega	North America
Spring trib. to Cheaha Creek 5 mi. SW of Munford, Hwy. 21.	Alabama River	United States of America	Alabama	Talladega	North America
Cane Creek trib. to Coosa River 8.6 mi. N of Lincoln.	Alabama River	United States of America	Alabama	Calhoun	North America
Alabama River at Clifton Ferry Landing; River Mile 137.3.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Upper Bar; River Mile 135.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Lower Bar; River Mile 133.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Yellow Jacket Bar; River Mile 129.8.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Tait Bar; River Mile 122.4.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Wilcox Bar; River Mile 120.4.	Alabama River	United States of America	Alabama	Wilcox	North America
Yellow River 4.6 mi. W of Hwy. 85 on Hwy. 2.	Yellow River	United States of America	Florida	Okaloosa	North America
Yellow River at Hwy. 4 crossing about 12 mi. W of Florala.	Yellow River	United States of America	Alabama	Covington	North America
Yellow River 9.4 mi. NNW of Florala, Hwy. 55.	Yellow River	United States of America	Alabama	Covington	North America
Buffalo Bayou, 1.6 mi. N off Hwy. 24, 4.1 mi. WNW of Centreville.	Mississippi River	United States of America	Mississippi	Wilkinson	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Pearl River just above Coburn Creek; 1.5 mi. E of Bogalusa - Stat. #1.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River between Coburn & Bogalusa Creeks; 1.5 mi. E of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 0.5 mi. below Richardson Landing; 1.5 mi. SE of Bogalusa - Stat. #3.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 54; 2.3 mi. SE of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above sill at Pools Bluff; 4 mi. S of Bogalusa - Stat. #5.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River 9 mi. below Pools Bluff Sill; River Mile 54.4 - Fish Stat. #8.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River 11.5 mi. below Pools Bluff Sill; River Mile 52 - Fish Stat. #9.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River opposite Byrd Bayou, River Mile 51.5 - Fish Stat. #10.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River at River Mile 47, 16.5 mi. below Pools Bluff Sill - Fish Stat. #11.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River 17.5 mi. below Pools Bluff Sill; River Mile 46.	Pearl River	United States of America	Louisiana	St. Tammany	North America
East Pearl River 0.25 mi. below Walkiah Bluff.	Pearl River	United States of America	Louisiana	St. Tammany	North America
East Pearl River 3 mi. below Stewards Bluff.	Pearl River	United States of America	Louisiana	St. Tammany	North America
East Pearl River 6 mi. below Lower Walkiah Bluff.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Holmes Bayou about 2 mi. below its uppper end.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Holmes Bayou 0.5 mi. above its mouth.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Homochitto River 5 mi. E of Union Church.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Yellow River about 7 mi. N of Babbie.	Yellow River	United States of America	Alabama	Covington	North America
Pearl River 17.5 mi. below Pools Bluff Sill; River Mile 46.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Wilson Slough at jct. with West Pearl River.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 1 mi. below jct. of Wilson Slough and West Pearl.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 3 mi. below jct. of Wilson Slough and West Pearl.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 6 mi. below jct. of Wilson Slough and West Pearl.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 8 mi. below jct. of Wilson Slough and West Pearl.	Pearl River	United States of America	Louisiana	St. Tammany	North America
West Pearl River 0.5 mi. below mouth of Holmes Bayou.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Pearl River 1.0 mi. above Hwy. 11 - Fish Stat. 19.	Pearl River	United States of America	Louisiana	St. Tammany	North America
Cheaha Creek trib. to Chcoccolocco Creek 3.6 mi. S of I-20.	Alabama River	United States of America	Alabama	Talladega	North America
Choccolocco Creek 3.0 mi. S of I-20 on Hwy. 93.	Alabama River	United States of America	Alabama	Talladega	North America
Choccolocco Creek at Martha H. Williams bridge, Hwy. 95.	Alabama River	United States of America	Alabama	Talladega	North America
Acker Creek 6.6 mi. N of Lincoln; Hwy. 77.	Alabama River	United States of America	Alabama	Calhoun	North America
Alabama River at Clifton Ferry Landing; River Mile 137.3.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Upper Bar; River Mile 135.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Lower Bar; River Mile 133.	Alabama River	United States of America	Alabama	Wilcox	North America
Barataria Preserve - Kenta Canal	Mississippi	United States of America	Louisiana	Jefferson	North America
Alabama River at Holly Ferry Landing; River Mile 131.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Yellow Jacket Bar; River Mile 129.8.	Alabama River	United States of America	Alabama	Wilcox	North America
Homochitto River at Hwy. 550 bridge 5 mi. E Union Church.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Bayou Pierre 5.8 mi. E of Carlisle, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Trib. to Big Black River about 4 mi. N of Edward on Anderson Road.	Big Black River	United States of America	Mississippi	Hinds	North America
Bayou Pierre 1.7 mi. W of Carpenter, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Pearl River just above Coburn Creek; 1.5 mi. E of Bogalusa - Stat. #1.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River at River Mile 54, 2.3 mi. SE of Bogalusa - Stat. #4.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just above sill at Pools Bluff; 4 mi. S of Bogalusa - Stat. #5.	Pearl River	United States of America	Louisiana	Washington	North America
Pearl River just below sill at Pools Bluff; 4 mi. S of Bogalusa - Stat. #6.	Pearl River	United States of America	Louisiana	Washington	North America
Tickfaw River, 0.8 mi. E of Easleyville (jct. Hwys. 43 & 38).	Lake Pontchartrain	United States of America	Louisiana	St. Helena	North America
Darlings Creek trib. to the Amite River 0.6 mi. E of Chipola on Hwy. 38.	Lake Pontchartrain	United States of America	Louisiana	St. Helena	North America
Amite River 10.9 mi. E of Clinton, LA Hwy. 10.	Lake Pontchartrain	United States of America	Louisiana	East Feliciana	North America
East Fork Amite River 7.3 mi. E of Liberty on Hwy. 24.	Lake Pontchartrain	United States of America	Mississippi	Amite	North America
West Fork Amite River 3.2 mi. SW of Liberty, Hwy. 48.	Lake Pontchartrain	United States of America	Mississippi	Amite	North America
Comite River, 8.9 mi. S of Clinton, Hwy. 67.	Lake Pontchartrain	United States of America	Louisiana	East Feliciana	North America
Amite River 10.8 mi. E of Clinton, Hwy. 10.	Lake Pontchartrain	United States of America	Louisiana	East Feliciana	North America
East branch of East Fork Amite River, 2.6 mi. W of Arlington.	Lake Ponchartrain	United States of America	Mississippi	Lincoln	North America
Goober Creek trib. to McGehee Creek, 6.5 mi. SSW of McCall Creek.	Mississippi River	United States of America	Mississippi	Franklin	North America
West Hog Branch 13.2 mi. W of Tickfaw Hwy. 442.	Lake Pontchartrain	United States of America	Louisiana	Livingston	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Bayou Pierre, 1.7 mi. W of Carpenter, Hwy. 18.	Mississippi River	United States of America	Mississippi	Copiah	North America
Big Sand Creek 2.3 mi. SW of Reganton.	Big Black River	United States of America	Mississippi	Claiborne	North America
Little Sand Creek 4.3 mi. SW of Reganton.	Big Black River	United States of America	Mississippi	Claiborne	North America
East Fork of Big Creek 4.7 mi. E of Arcola, LA Hwy. 1054.	Lake Pontchartrain	United States of America	Louisiana	Tangipahoa	North America
Big Sand Creek 2.3 mi. S of Reganton.	Big Black River	United States of America	Mississippi	Claiborne	North America
Raglan Creek trib. to Big Black River 2.3 mi. W of town of Rocky Springs.	Big Black River	United States of America	Mississippi	Claiborne	North America
Gunns Bayou 0.3 mi. S of Hankinson.	Big Black River	United States of America	Mississippi	Claiborne	North America
Kennison Creek 1.1 mi. N of Willows.	Big Black River	United States of America	Mississippi	Claiborne	North America
Cheaha Creek 3.6 mi. S of I-20, Hwy. 93.	Alabama River	United States of America	Alabama	Talladega	North America
Cheaha Creek trib. to creek, Talladega County Hwy. 105 at McElderry.	Alabama River	United States of America	Alabama	Talladega	North America
Choccolocco Creek, County Hwy. 93, 3 mi. S of jct. of I-20.	Alabama River	United States of America	Alabama	Talladega	North America
Cane Creek trib. to Logan Martin Resevoir, 8.6 mi. N of Lincoln, Hwy. 73.	Alabama River	United States of America	Alabama	Calhoun	North America
Alabama River at Clifton Ferry Landing; River Mile 137.3.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Upper Bar; River Mile 135.7.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Evans Lower Bar; River Mile 133.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Yellow Jacket Bar; River Mile 129.8.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Tait Bar; River Mile 122.4.	Alabama River	United States of America	Alabama	Wilcox	North America
Alabama River at Wilcox Bar; River Mile 120.4.	Alabama River	United States of America	Alabama	Wilcox	North America
Homochitto River 5 mi. E of Union Church, Hwy. 550.	Mississippi River	United States of America	Mississippi	Lincoln	North America
Turkey Creek trib. to Bayou Pierre 2.3 mi. E of Dentville.	Mississippi River	United States of America	Mississippi	Copiah	North America
Bayou Pierre 1.7 mi. W of Carpenter or 5.8 mi. E of Carlisle.	Mississippi River	United States of America	Mississippi	Copiah	North America
Trib. to Bogueloosa Creek, 0.6 mi. W of Needham, Hwy. 18.	Tombigbee River	United States of America	Alabama	Choctaw	North America
Wahalak Creek at S edge of Butler, Hwy. 17.	Tombigbee River	United States of America	Alabama	Choctaw	North America
Trib. to Tombigbee River 2.5 mi. SW of Forkland.	Tombigbee River	United States of America	Alabama	Greene	North America
Taylor Creek trib. to Tombigbee River 4.7 mi. S of Boligee.	Tombigbee River	United States of America	Alabama	Greene	North America
